,repo,developer_random_id,commit,addition,deletion,days_since_last_commit,days_first_to_last_commit,files,commit_messages_length,days_worked,files_blamed,issues,pulls_created,merges,repo_developer_count,repo_language_count,repo_ruby_used,repo_c_used,repo_cpp_used,repo_cs_used,repo_java_used,repo_js_used,repo_python_used,repo_html_used,repo_php_used,repo_others_used,author
71,capistrano/capistrano,capistrano_24,0.002118644,0.001662887,0.001662887,0.825989961,0.001134644,0.016233766,0.005068392,0.00623053,0.0,0.0,0.0,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
72,capistrano/capistrano,capistrano_43,0.002118644,0.000755858,0.000755858,0.003346347,0.002647504,0.016233766,0.001731438,0.009345794,0.0,0.0,0.032258065,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
73,capistrano/capistrano,capistrano_49,0.001059322,0.000151172,0.000151172,0.219743447,0.006051437,0.0,0.001983284,0.00623053,0.0,0.0,0.016129032,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
74,capistrano/capistrano,capistrano_5,0.001059322,0.000151172,0.000151172,0.271611824,0.001891074,0.003246753,0.001133305,0.003115265,0.0,0.0,0.048387097,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
75,capistrano/capistrano,capistrano_34,0.001059322,0.000302343,0.000302343,0.696319018,0.068456884,0.006493506,0.002990666,0.009345794,0.0,0.0,0.0,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
76,capistrano/capistrano,capistrano_45,0.001059322,0.001058201,0.001058201,0.211935304,0.006051437,0.012987013,0.001416631,0.003115265,0.0,0.0,0.032258065,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
77,capistrano/capistrano,capistrano_38,0.001059322,0.000151172,0.000151172,0.363915226,0.0,0.003246753,0.000110182,0.0,0.0,0.0,0.032258065,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
78,capistrano/capistrano,capistrano_56,0.001059322,0.001360544,0.001360544,0.180981595,0.090015129,0.025974026,0.001479593,0.00623053,0.016393443,0.0,0.064516129,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
79,capistrano/capistrano,capistrano_18,0.001059322,0.001209373,0.001209373,0.008087005,0.013993949,0.016233766,0.003085108,0.003115265,0.0,0.0,0.064516129,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
80,capistrano/capistrano,capistrano_55,0.001059322,0.000151172,0.000151172,0.300334635,0.0,0.003246753,0.000645354,0.0,0.0,0.0,0.0,0.0,373,3,1,0,0,0,0,0,0,1,0,1,0
