,repo,developer_random_id,commit,addition,deletion,days_since_last_commit,days_first_to_last_commit,files,commit_messages_length,days_worked,files_blamed,issues,pulls_created,merges,repo_developer_count,repo_language_count,repo_ruby_used,repo_c_used,repo_cpp_used,repo_cs_used,repo_java_used,repo_js_used,repo_python_used,repo_html_used,repo_php_used,repo_others_used,author
58,capistrano/capistrano,capistrano_8,-0.18015646,-0.205567543,-0.205567543,-0.530782562,-0.111284516,-0.23180445,-0.212252797,-0.212322375,-0.243327505,-0.225484009,-0.142801109,-0.175615133,373,3,1,0,0,0,0,0,0,1,0,1,0
59,capistrano/capistrano,capistrano_17,-0.172006819,-0.212259261,-0.212259261,-1.023289488,-0.436364595,-0.253201783,-0.21557399,-0.169793463,-0.243327505,-0.225484009,-0.142801109,-0.175615133,373,3,1,0,0,0,0,0,0,1,0,1,0
60,capistrano/capistrano,capistrano_29,-0.188306101,-0.208913402,-0.208913402,-0.168940739,-0.468872603,-0.253201783,-0.220287942,-0.233586832,-0.243327505,-0.225484009,-0.142801109,-0.175615133,373,3,1,0,0,0,0,0,0,1,0,1,0
61,capistrano/capistrano,capistrano_65,-0.188306101,-0.213374547,-0.213374547,-0.220313343,0.19754156,-0.274599117,-0.197468132,-0.212322375,-0.243327505,-0.225484009,0.071400555,-0.175615133,373,3,1,0,0,0,0,0,0,1,0,1,0
62,capistrano/capistrano,capistrano_60,-0.196455742,-0.217835693,-0.217835693,0.10467422,-0.53795212,-0.424380454,-0.199825108,-0.254851288,-0.243327505,-0.225484009,-0.249901942,-0.175615133,373,3,1,0,0,0,0,0,0,1,0,1,0
63,capistrano/capistrano,capistrano_54,-0.196455742,-0.19441468,-0.19441468,-0.296255455,-0.125506769,-0.167612448,-0.219002319,-0.212322375,-0.243327505,-0.225484009,0.499803883,-0.175615133,373,3,1,0,0,0,0,0,0,1,0,1,0
64,capistrano/capistrano,capistrano_22,-0.204605383,-0.21560512,-0.21560512,-1.179640893,-0.53998387,-0.295996451,-0.225323299,-0.276115745,-0.140381253,-0.225484009,0.071400555,-0.175615133,373,3,1,0,0,0,0,0,0,1,0,1,0
65,capistrano/capistrano,capistrano_36,-0.212755024,-0.220066265,-0.220066265,-0.241532463,0.000461761,-0.381585786,-0.2383938,-0.233586832,-0.243327505,-0.225484009,0.285602219,-0.175615133,373,3,1,0,0,0,0,0,0,1,0,1,0
66,capistrano/capistrano,capistrano_64,-0.212755024,-0.20668283,-0.20668283,-0.521848196,0.018747516,-0.103420447,-0.193289857,-0.233586832,-0.243327505,-0.225484009,-0.464103606,-0.175615133,373,3,1,0,0,0,0,0,0,1,0,1,0
67,capistrano/capistrano,capistrano_66,-0.212755024,-0.210028689,-0.210028689,1.796619782,-0.261634052,-0.189009782,-0.220073671,-0.212322375,-0.243327505,-0.225484009,-0.464103606,-0.175615133,373,3,1,0,0,0,0,0,0,1,0,1,0
